L 			Tau 		L_min 	L_max Tau_min	Tau_max
39.57 	0.033 	39.51 	39.63 0.02 		0.05
40.1		0.046		40.07 	40.13 0.033 	0.064
43.59 	4.0 		43.5 		43.68 2.5 		5
43.66 	9.8 		43.52 	43.8 	8.3 		11.7 
43.58 	6.7 		43.52 	43.64 5.7 		7.6  "NGC5548"
43.78 	2.5 		43.71 	43.85 2.3 		2.8
44.07 	35.7 		43.86 	44.28 21.1 		47.1 

